vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,39.337757,75.56
1,144,573,44.744385,11.816203,35.849968,76.81
2,265,578,44.716986,12.508507,33.495220,80.97
3,387,583,44.685040,13.200039,32.702873,79.12
4,509,590,44.648555,13.890682,31.994221,74.48
5,630,597,44.607542,14.580319,29.567394,66.82
6,27,482,45.259591,11.152480,40.366711,75.84
7,150,486,45.236517,11.851905,37.733822,75.88
8,273,491,45.208842,12.550657,36.199112,78.67
9,396,497,45.176574,13.248614,35.468929,78.18
10,518,503,45.139723,13.945657,34.324718,72.77
11,641,511,45.098298,14.641667,31.226866,65.49
12,32,396,45.752281,11.182268,40.733547,73.92
13,156,400,45.728973,11.888281,39.095985,74.45
14,280,405,45.701019,12.593601,37.296139,78.24
15,404,410,45.668426,13.298104,36.646309,76.64
16,528,417,45.631204,14.001667,36.094917,71.79
17,652,424,45.589362,14.704167,30.118238,66.58
18,37,309,46.245263,11.212625,41.966927,75.13
19,163,313,46.221720,11.925350,40.412174,73.72
20,288,318,46.193484,12.637363,38.249432,77.89
21,413,324,46.160561,13.348535,38.417248,75.28
22,538,330,46.122963,14.058739,34.035542,72.07
23,663,338,46.080699,14.767850,32.349556,66.65
24,43,222,46.738506,11.243565,42.805763,75.24
25,170,226,46.714724,11.963132,39.087749,73.50
26,296,231,46.686201,12.681965,38.146713,75.72
27,422,237,46.652946,13.399932,37.935722,76.68
28,549,244,46.614967,14.116905,34.712143,72.51
29,675,251,46.572277,14.832752,32.671616,68.38
30,48,135,47.231974,11.275108,43.070019,75.31
31,176,139,47.207951,12.001647,39.146194,74.78
32,304,144,47.179138,12.727432,36.753124,73.87
33,432,150,47.145545,13.452326,36.228584,75.61
34,559,157,47.107182,14.176196,33.392048,72.19
35,686,165,47.064059,14.898907,29.622719,69.33
36,54,48,47.725632,11.307269,41.337788,77.10
37,183,53,47.701364,12.040918,38.685307,73.70
38,312,58,47.672259,12.773790,38.873108,78.12
39,441,64,47.638324,13.505744,38.180473,79.64
40,570,70,47.599571,14.236644,31.284798,75.52
41,698,78,47.556010,14.966352,29.875685,69.65
