vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,21.478989,49.45
1,144,573,44.744385,11.816203,29.495707,70.99
2,265,578,44.716986,12.508507,34.892918,81.27
3,387,583,44.685040,13.200039,35.118111,80.18
4,509,590,44.648555,13.890682,31.900026,77.87
5,630,597,44.607542,14.580319,30.232870,79.20
6,27,482,45.259591,11.152480,21.939817,54.27
7,150,486,45.236517,11.851905,30.837755,72.12
8,273,491,45.208842,12.550657,34.847294,79.95
9,396,497,45.176574,13.248614,35.315125,80.01
10,518,503,45.139723,13.945657,32.863689,79.62
11,641,511,45.098298,14.641667,33.967834,79.84
12,32,396,45.752281,11.182268,24.197741,62.19
13,156,400,45.728973,11.888281,32.619648,75.61
14,280,405,45.701019,12.593601,36.321980,80.03
15,404,410,45.668426,13.298104,36.043949,78.61
16,528,417,45.631204,14.001667,35.839806,80.94
17,652,424,45.589362,14.704167,33.560192,81.64
18,37,309,46.245263,11.212625,25.978891,70.95
19,163,313,46.221720,11.925350,34.786797,79.16
20,288,318,46.193484,12.637363,37.647850,79.60
21,413,324,46.160561,13.348535,36.556740,77.26
22,538,330,46.122963,14.058739,37.613361,80.41
23,663,338,46.080699,14.767850,36.202908,78.77
24,43,222,46.738506,11.243565,29.318995,79.13
25,170,226,46.714724,11.963132,38.108662,80.22
26,296,231,46.686201,12.681965,38.095505,80.08
27,422,237,46.652946,13.399932,39.146202,78.59
28,549,244,46.614967,14.116905,39.853737,79.07
29,675,251,46.572277,14.832752,38.269112,76.63
30,48,135,47.231974,11.275108,31.991095,78.37
31,176,139,47.207951,12.001647,40.967476,81.10
32,304,144,47.179138,12.727432,40.102409,79.68
33,432,150,47.145545,13.452326,39.600639,80.39
34,559,157,47.107182,14.176196,38.872154,78.20
35,686,165,47.064059,14.898907,35.314667,76.73
36,54,48,47.725632,11.307269,35.753338,77.65
37,183,53,47.701364,12.040918,41.413826,79.20
38,312,58,47.672259,12.773790,43.267990,78.92
39,441,64,47.638324,13.505744,40.891277,79.55
40,570,70,47.599571,14.236644,38.599449,79.82
41,698,78,47.556010,14.966352,36.225582,77.47
