vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,19.712633,-50.53
1,144,573,44.744385,11.816203,21.254053,-52.52
2,265,578,44.716986,12.508507,21.293026,-60.57
3,387,583,44.685040,13.200039,22.551729,-70.04
4,509,590,44.648555,13.890682,20.149899,-73.06
5,630,597,44.607542,14.580319,18.917936,-74.40
6,27,482,45.259591,11.152480,19.107515,-44.66
7,150,486,45.236517,11.851905,21.181801,-46.87
8,273,491,45.208842,12.550657,20.885874,-58.11
9,396,497,45.176574,13.248614,23.014702,-67.78
10,518,503,45.139723,13.945657,19.695684,-66.28
11,641,511,45.098298,14.641667,19.151676,-72.58
12,32,396,45.752281,11.182268,21.408152,-41.31
13,156,400,45.728973,11.888281,22.323936,-41.01
14,280,405,45.701019,12.593601,22.481680,-43.83
15,404,410,45.668426,13.298104,22.082232,-61.82
16,528,417,45.631204,14.001667,19.556185,-64.87
17,652,424,45.589362,14.704167,20.226484,-68.27
18,37,309,46.245263,11.212625,22.075621,-32.17
19,163,313,46.221720,11.925350,22.910223,-36.89
20,288,318,46.193484,12.637363,23.218950,-38.17
21,413,324,46.160561,13.348535,20.809868,-45.91
22,538,330,46.122963,14.058739,19.903826,-55.11
23,663,338,46.080699,14.767850,20.284365,-60.49
24,43,222,46.738506,11.243565,22.652395,-22.94
25,170,226,46.714724,11.963132,22.091272,-31.97
26,296,231,46.686201,12.681965,23.136015,-31.31
27,422,237,46.652946,13.399932,21.495062,-35.94
28,549,244,46.614967,14.116905,20.416124,-47.73
29,675,251,46.572277,14.832752,20.858976,-53.96
30,48,135,47.231974,11.275108,25.197508,-16.17
31,176,139,47.207951,12.001647,23.242521,-28.76
32,304,144,47.179138,12.727432,23.116423,-30.56
33,432,150,47.145545,13.452326,21.943863,-32.97
34,559,157,47.107182,14.176196,20.658195,-45.16
35,686,165,47.064059,14.898907,21.636591,-49.65
36,54,48,47.725632,11.307269,24.589270,-13.18
37,183,53,47.701364,12.040918,21.539646,-26.59
38,312,58,47.672259,12.773790,21.874083,-31.66
39,441,64,47.638324,13.505744,19.514303,-33.24
40,570,70,47.599571,14.236644,20.309708,-40.38
41,698,78,47.556010,14.966352,20.981485,-46.17
