vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,10.489000,-36.96
1,144,573,44.744385,11.816203,9.848024,-35.71
2,265,578,44.716986,12.508507,10.651698,-26.04
3,387,583,44.685040,13.200039,12.195911,-19.00
4,509,590,44.648555,13.890682,14.153829,-15.27
5,630,597,44.607542,14.580319,14.752924,-16.40
6,27,482,45.259591,11.152480,11.331156,-25.46
7,150,486,45.236517,11.851905,11.445917,-28.89
8,273,491,45.208842,12.550657,11.839225,-33.46
9,396,497,45.176574,13.248614,13.534016,-26.97
10,518,503,45.139723,13.945657,14.820282,-21.40
11,641,511,45.098298,14.641667,14.291332,-21.29
12,32,396,45.752281,11.182268,12.420919,-26.69
13,156,400,45.728973,11.888281,12.663710,-30.13
14,280,405,45.701019,12.593601,15.057424,-39.82
15,404,410,45.668426,13.298104,14.954805,-37.16
16,528,417,45.631204,14.001667,13.351309,-29.98
17,652,424,45.589362,14.704167,12.677275,-25.73
18,37,309,46.245263,11.212625,13.459233,-27.83
19,163,313,46.221720,11.925350,14.606820,-35.11
20,288,318,46.193484,12.637363,16.559532,-41.76
21,413,324,46.160561,13.348535,16.079628,-36.95
22,538,330,46.122963,14.058739,13.899618,-35.57
23,663,338,46.080699,14.767850,12.655012,-24.33
24,43,222,46.738506,11.243565,15.061275,-29.77
25,170,226,46.714724,11.963132,15.220557,-32.30
26,296,231,46.686201,12.681965,16.085732,-39.48
27,422,237,46.652946,13.399932,14.891067,-37.35
28,549,244,46.614967,14.116905,13.514479,-35.97
29,675,251,46.572277,14.832752,11.877817,-27.34
30,48,135,47.231974,11.275108,15.832722,-28.28
31,176,139,47.207951,12.001647,15.207846,-30.72
32,304,144,47.179138,12.727432,15.185270,-35.15
33,432,150,47.145545,13.452326,14.767620,-38.55
34,559,157,47.107182,14.176196,12.087114,-35.47
35,686,165,47.064059,14.898907,11.593873,-29.72
36,54,48,47.725632,11.307269,15.459909,-28.61
37,183,53,47.701364,12.040918,15.254494,-26.76
38,312,58,47.672259,12.773790,15.875820,-32.88
39,441,64,47.638324,13.505744,14.673043,-38.60
40,570,70,47.599571,14.236644,11.919526,-34.04
41,698,78,47.556010,14.966352,11.210168,-30.41
