vector_id,pixel_x,pixel_y,latitude,longitude,magnitude,alpha_deg
0,22,569,44.767229,11.123243,22.800552,-78.81
1,144,573,44.744385,11.816203,14.431067,-58.38
2,265,578,44.716986,12.508507,13.001409,-43.22
3,387,583,44.685040,13.200039,12.196069,-36.10
4,509,590,44.648555,13.890682,12.818416,-36.09
5,630,597,44.607542,14.580319,13.881733,-29.56
6,27,482,45.259591,11.152480,25.019192,-79.89
7,150,486,45.236517,11.851905,17.557343,-63.79
8,273,491,45.208842,12.550657,14.195931,-51.71
9,396,497,45.176574,13.248614,14.062841,-33.74
10,518,503,45.139723,13.945657,14.022672,-35.01
11,641,511,45.098298,14.641667,13.488133,-34.85
12,32,396,45.752281,11.182268,24.789133,-74.41
13,156,400,45.728973,11.888281,19.612789,-67.91
14,280,405,45.701019,12.593601,15.237241,-52.13
15,404,410,45.668426,13.298104,14.624083,-38.02
16,528,417,45.631204,14.001667,13.795936,-35.54
17,652,424,45.589362,14.704167,13.445075,-35.11
18,37,309,46.245263,11.212625,24.964184,-69.15
19,163,313,46.221720,11.925350,22.202162,-67.54
20,288,318,46.193484,12.637363,15.707534,-58.43
21,413,324,46.160561,13.348535,14.247108,-42.54
22,538,330,46.122963,14.058739,13.472533,-34.62
23,663,338,46.080699,14.767850,14.051391,-34.80
24,43,222,46.738506,11.243565,25.450602,-64.61
25,170,226,46.714724,11.963132,23.003609,-68.49
26,296,231,46.686201,12.681965,16.157560,-59.19
27,422,237,46.652946,13.399932,13.474164,-39.76
28,549,244,46.614967,14.116905,13.594809,-31.52
29,675,251,46.572277,14.832752,14.366359,-32.93
30,48,135,47.231974,11.275108,26.031187,-62.41
31,176,139,47.207951,12.001647,26.489372,-66.08
32,304,144,47.179138,12.727432,16.793579,-57.50
33,432,150,47.145545,13.452326,12.757332,-39.55
34,559,157,47.107182,14.176196,12.594177,-28.65
35,686,165,47.064059,14.898907,13.847076,-30.88
36,54,48,47.725632,11.307269,25.989239,-58.93
37,183,53,47.701364,12.040918,25.800951,-63.65
38,312,58,47.672259,12.773790,18.560665,-57.17
39,441,64,47.638324,13.505744,12.506350,-36.69
40,570,70,47.599571,14.236644,12.308632,-30.22
41,698,78,47.556010,14.966352,13.711373,-31.35
